Sector/Wheel,Disk-4,Disk-3,Disk-2,Disk-1,Gap,Wheel-2,Wheel-1,Wheel0,Wheel1,Wheel2,Gap,Disk1,Disk2,Disk3,Disk4
Sector1,1,1,1,1,-1,0.705882353,0.705882353,0.882352941,1,0.882352941,-1,1,1,1,1
Sector2,1,1,1,1,-1,1,0.294117647,0.647058824,1,1,-1,1,1,1,1
Sector3,1,1,1,1,-1,0.882352941,0.294117647,0.882352941,0.882352941,1,-1,1,1,1,1
Sector4,1,1,1,1,-1,0.380952381,0.619047619,0.714285714,0.619047619,0.904761905,-1,1,1,1,1
Sector5,1,1,1,1,-1,1,0.764705882,0.529411765,0.882352941,0.764705882,-1,1,1,1,1
Sector6,1,1,1,1,-1,0.647058824,0.764705882,0.470588235,1,0.882352941,-1,1,1,1,1
Sector7,-1,-1,-1,-1,-1,0.647058824,0.882352941,0.588235294,0.764705882,0.764705882,-1,-1,-1,-1,-1
Sector8,-1,-1,-1,-1,-1,0.764705882,0.764705882,0.764705882,0.764705882,0.882352941,-1,-1,-1,-1,-1
Sector9,-1,-1,-1,-1,-1,0.866666667,0.733333333,1,1,0.866666667,-1,-1,-1,-1,-1
Sector10,-1,-1,-1,-1,-1,0.764705882,0.411764706,0.588235294,0.882352941,0.882352941,-1,-1,-1,-1,-1
Sector11,-1,-1,-1,-1,-1,0.866666667,0.6,0.733333333,1,0.866666667,-1,-1,-1,-1,-1
Sector12,-1,-1,-1,-1,-1,1,0.764705882,0.764705882,1,0.764705882,-1,-1,-1,-1,-1